incident angle	longitudinal	transverse
0	0.783	
2.5	0.768	
5	0.762	
7.5	0.753	
10	0.743	
12.5	0.727	
15	0.721	
17.5	0.699	
20	0.669	
22.5	0.626	0.28
25	0.563	0.265
27.5	0.483	0.264
30	0.357	0.263
32.5	0.233	0.253
35	0.123	0.386
37.5	0.051	0.58
40	0.017	0.658
42.5	0	0.673
45		0.665
47.5		0.641
50		0.626
52.5		0.612
55		0.597
57.5		0.576
60		0.551
62.5		0.524
65		0.497
67.5		0.447
70		0.391
72.5		0.32
75		0.27
77.5		0.155
80		0.078
82.5		0.055
